Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
1145,91,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,175824.1758,43956.04396,30.33333333,24.19366308,49,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,48,40,21978.02198,21978.02198,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0
53,232,2,2,64,152,32,32,32.0,0.0,76,76,76.0,0.0,931034.4828,17241.37931,77.33333333,50.80682369,136,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,80,80,8620.689655,8620.689655,32,76,49.6,24.09979253,580.8,0,0,0,0,0,0,0,0,1,62.0,32.0,76.0,80,0,0,0,0,0,0,2,64,2,152,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
53,176,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,2272727273,22727.27273,58.66666667,94.68544415,168,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,11363.63636,11363.63636,36,164,87.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,109.0,36.0,164.0,64,0,0,0,0,0,0,2,72,2,328,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,69780,1,1,46,197,46,46,46.0,0.0,197,197,197.0,0.0,3482.3731728289,28.6615075953,69780.0,0.0,69780,69780,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14.3307537976,14.3307537976,46,197,96.3333333333,87.1798906476,7600.3333333333,0,0,0,0,0,0,0,0,1,144.5,46.0,197.0,32,0,0,0,0,0,0,1,46,1,197,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,11932636,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.011290716,0.335215119,3977545333,6889026552,11900000,3,11900000,3977545333,6889026552,11900000,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.335215119,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,328.0,0.0,328,328,11900000.0,0.0,11900000,11900000
80,846195,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,13747.42228,10.63584635,105774375,298800.5996,845268,3,651,325.5,392.4442636,603,48,846118,169223.6,377920.3832,845268,3,0,0,0,0,72,132,3.545282116,7.090564232,0,4380,1163.3,1903.962654,3625073789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
58379,1,2,0,280,0,274,6,140.0,189.5046174,0,0,0.0,0.0,280000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,6,274,184.6666667,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,277.0,140.0,0.0,40,0,0,0,0,0,0,2,280,0,0,60,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,2232699,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,13.43665223,2.239442039,558174.75,1114823.59,2230410,220,2232699,558174.75,1114823.59,2230410,220,0,0.0,0.0,0,0,0,0,0,0,100,0,2.239442039,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0
80,1501673,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,7746.693188,4.661467576,250278.8333,612712.0501,1500972,6,641,320.5,383.9589822,592,49,1501625,500541.6667,866398.1427,1500972,6,0,0,0,0,72,92,1.997771818,2.663695758,0,11595,1454125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
60020,58,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.7586206897,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17241.3793103448,17241.3793103448,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,357,333,0,32,0.0,0.0,0,0,0.0,0.0,0,0
